,Released_Year,Runtime,IMDB_Rating,No_of_Votes,description,director_idx,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
608,2008,125,7.8,58468,Chugyeokja - A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
511,2002,119,7.9,508771,"The Bourne Identity - A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
641,2000,110,7.8,26518,"Gongdong gyeongbi guyeok JSA - After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",73,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1973,129,8.3,241513,The Sting - Two grifters team up to pull off the ultimate con.,161,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,1978,127,7.9,111512,"Dawn of the Dead - Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",156,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
374,2003,186,8.0,63460,"Kal Ho Naa Ho - Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",357,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
757,2008,122,7.7,103330,Frost/Nixon - A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,433,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
455,1942,118,8.0,65101,Arsenic and Old Lace - A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,140,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
753,2012,120,7.7,572581,"Argo - Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
188,1953,136,8.2,53153,"Tôkyô monogatari - An old couple visit their children and grandchildren in the city, but receive little attention.",536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,2014,102,7.8,410983,"Big Hero 6 - A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,1979,95,7.6,32802,"The Muppet Movie - Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",204,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
496,2006,141,7.9,154011,"Letters from Iwo Jima - The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",84,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,1993,121,7.8,128171,A Bronx Tale - A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,418,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2006,130,8.5,1190259,"The Prestige - After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
992,1967,78,7.6,166409,The Jungle Book - Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,531,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
628,2008,166,7.8,589160,"The Curious Case of Benjamin Button - Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
