director,index
Aamir Khan,0
Aaron Sorkin,1
Abdellatif Kechiche,2
Abhishek Chaubey,3
Abhishek Kapoor,4
Adam Elliot,5
Adam McKay,6
Aditya Chopra,7
Aditya Dhar,8
Akira Kurosawa,9
Alain Resnais,10
Alan J. Pakula,11
Alan Parker,12
Alejandro Amenábar,13
Alejandro G. Iñárritu,14
Alejandro Jodorowsky,15
Alex Garland,16
Alex Proyas,17
Alexander Mackendrick,18
Alexander Payne,19
Alfonso Cuarón,20
Alfonso Gomez-Rejon,21
Alfred Hitchcock,22
Amit Ravindernath Sharma,23
Anders Thomas Jensen,24
Andrei Tarkovsky,25
Andrew Adamson,26
Andrew Davis,27
Andrew Lau,28
Andrew Niccol,29
Andrew Stanton,30
Andrey Zvyagintsev,31
Aneesh Chaganty,32
Ang Lee,33
Aniruddha Roy Chowdhury,34
Anthony Harvey,35
Anthony Russo,36
Antoine Fuqua,37
Anton Corbijn,38
Anurag Basu,39
Anurag Kashyap,40
Arthur Penn,41
Asghar Farhadi,42
Ashutosh Gowariker,43
Barry Levinson,44
Ben Affleck,45
Bennett Miller,46
Bernardo Bertolucci,47
Billy Bob Thornton,48
Billy Wilder,49
Blake Edwards,50
Boaz Yakin,51
Bob Clark,52
Bob Fosse,53
Bob Gale,54
Bob Persichetti,55
Bong Joon Ho,56
Brad Anderson,57
Brad Bird,58
Bradley Cooper,59
Brian De Palma,60
Brian G. Hutton,61
Brian Henson,62
Bruce Robinson,63
Bryan Singer,64
Buster Keaton,65
Byron Howard,66
Cameron Crowe,67
Can Ulkay,68
Carl Theodor Dreyer,69
Carol Reed,70
Cary Joji Fukunaga,71
Cecil B. DeMille,72
Chan-wook Park,73
Charles Chaplin,74
Charles Laughton,75
Charles Vidor,76
Charlie Kaufman,77
Chris Columbus,78
Christian Carion,79
Christophe Barratier,80
Christopher McQuarrie,81
Christopher Miller,82
Christopher Nolan,83
Clint Eastwood,84
Clyde Bruckman,85
Cristian Mungiu,86
Curtis Hanson,87
Cy Endfield,88
Céline Sciamma,89
Damien Chazelle,90
Damián Szifron,91
Dan Gilroy,92
Daniel Monzón,93
Danis Tanovic,94
Danny Boyle,95
Darius Marder,96
Darren Aronofsky,97
David Ayer,98
David Cronenberg,99
David Fincher,100
David Lean,101
David Leitch,102
David Lynch,103
David Mackenzie,104
David Mickey Evans,105
David O. Russell,106
David Yates,107
David Zucker,108
Dean DeBlois,109
Denis Villeneuve,110
Deniz Gamze Ergüven,111
Dennis Gansel,112
Destin Daniel Cretton,113
Don Hall,114
Don Siegel,115
Dorota Kobiela,116
Doug Liman,117
Duncan Jones,118
Edgar Wright,119
Edward Zwick,120
Elem Klimov,121
Elia Kazan,122
Emir Kusturica,123
Eric Bress,124
Ericson Core,125
Ernst Lubitsch,126
Ethan Coen,127
F. Gary Gray,128
F.W. Murnau,129
Fabián Bielinsky,130
Farhan Akhtar,131
Fatih Akin,132
Federico Fellini,133
Felix van Groeningen,134
Fernando Meirelles,135
Florian Henckel von Donnersmarck,136
Francis Ford Coppola,137
Francis Lee,138
Francis Veber,139
Frank Capra,140
Frank Darabont,141
Frank Miller,142
Franklin J. Schaffner,143
François Truffaut,144
Fred Zinnemann,145
Fritz Lang,146
Gabriele Muccino,147
Gareth Edwards,148
Gareth Evans,149
Garth Davis,150
Gary Trousdale,151
Gauri Shinde,152
Gavin O'Connor,153
Gayatri,154
Gene Saks,155
George A. Romero,156
George Cukor,157
George Lucas,158
George Miller,159
George P. Cosmatos,160
George Roy Hill,161
George Seaton,162
George Sluizer,163
George Stevens,164
Georges Franju,165
Gillo Pontecorvo,166
Giuseppe Tornatore,167
Gore Verbinski,168
Gregg Araki,169
Gregory Hoblit,170
Greta Gerwig,171
Guillermo del Toro,172
Gus Van Sant,173
Guy Hamilton,174
Guy Ritchie,175
Hal Ashby,176
Hannes Holm,177
Harold Ramis,178
Hayao Miyazaki,179
Henri-Georges Clouzot,180
Henry Koster,181
Henry Selick,182
Hideaki Anno,183
Hirokazu Koreeda,184
Hiromasa Yonebayashi,185
Hong-jin Na,186
Howard Hawks,187
Hrishikesh Mukherjee,188
Imtiaz Ali,189
Ingmar Bergman,190
Irvin Kershner,191
Isao Takahata,192
Ivan Reitman,193
J. Lee Thompson,194
J.J. Abrams,195
Jack Clayton,196
Jaco Van Dormael,197
Jacques Audiard,198
Jacques Tourneur,199
Jae-young Kwak,200
James Algar,201
James Cameron,202
James Foley,203
James Frawley,204
James Gunn,205
James Ivory,206
James L. Brooks,207
James Mangold,208
James Marsh,209
James McTeigue,210
James Simone,211
James Wan,212
James Whale,213
Je-kyu Kang,214
Jean Renoir,215
Jean-Jacques Annaud,216
Jean-Luc Godard,217
Jean-Marc Vallée,218
Jean-Pierre Jeunet,219
Jean-Pierre Melville,220
Jee-woon Kim,221
Jeethu Joseph,222
Jemaine Clement,223
Jeong-beom Lee,224
Jessie Nelson,225
Jim Abrahams,226
Jim Jarmusch,227
Jim Sheridan,228
Joe Johnston,229
Joe Wright,230
Joel Coen,231
Joel Schumacher,232
John Boorman,233
John Cameron Mitchell,234
John Carney,235
John Carpenter,236
John Ford,237
John Frankenheimer,238
John G. Avildsen,239
John Hughes,240
John Huston,241
John Landis,242
John Lasseter,243
John Lee Hancock,244
John McTiernan,245
John Schlesinger,246
John Singleton,247
John Sturges,248
John Woo,249
Jon Avnet,250
Jon Favreau,251
Jonathan Dayton,252
Jonathan Demme,253
Jonathan Levine,254
Jonathan Lynn,255
Jordan Peele,256
Joseph Kosinski,257
Joseph L. Mankiewicz,258
Joseph Sargent,259
Josh Boone,260
Josh Cooley,261
Joss Whedon,262
José Padilha,263
Juan José Campanella,264
Jules Dassin,265
Julian Schnabel,266
Kabir Khan,267
Kaige Chen,268
Kar-Wai Wong,269
Karan Johar,270
Katsuhiro Ôtomo,271
Ken Annakin,272
Ken Loach,273
Kenneth Branagh,274
Kenneth Lonergan,275
Kevin Altieri,276
Kevin Costner,277
Kevin Macdonald,278
Kevin Reynolds,279
Kevin Smith,280
Ki-duk Kim,281
Kinji Fukasaku,282
Krzysztof Kieslowski,283
Lana Wachowski,284
Lars von Trier,285
Lasse Hallström,286
Lee Tamahori,287
Lee Unkrich,288
